Column1;id;age;cause;vus;country;kpp;yService;voenk;kategory;katZ;date;date_wo_time
102;2561;28.0;отказ от военкомата;служил;ОАЭ;Внуково;2016-2017;;;1.0;27.09.2022 15:35;2022-09-27
103;2563;NULL;;служил;Казахстан;;;;А;;26.09.2022 15:38;2022-09-26
104;2563;32.0;отказ от военкомата;водитель автомобилей;Азербайджан;Внуково;;;Б3;1.0;26.09.2022 15:38;2022-09-26
105;2574;NULL;отказ от военкомата;служил;Казахстан;Мариинский;;;А1;;27.09.2022 16:03;2022-09-27
106;2583;28.0;отказ от военкомата;командир отделения мостостроительных средств, военная кафедра;Казахстан;Сагарчин;;;А;2.0;27.09.2022 16:11;2022-09-27
107;2608;NULL;отказ во въезде;;Эстония;Ивангород;;;;;27.09.2022 16:35;2022-09-27
108;2608;NULL;отказ во въезде;;Эстония;Ивангород;;;;;27.09.2022 16:35;2022-09-27
109;2608;NULL;отказ во въезде;;Эстония;Ивангород;;;;;27.09.2022 16:35;2022-09-27
110;2608;NULL;отказ во въезде;;Эстония;Ивангород;;;;;27.09.2022 16:35;2022-09-27
111;2608;NULL;отказ во въезде;;Эстония;Ивангород;;;;;27.09.2022 16:35;2022-09-27
112;2613;19.0;без объяснения причин;не служил;Казахстан;Кольцово;;;;;27.09.2022 16:47;2022-09-27
113;2616;35.0;отказ от военкомата;военная кафедра;Казахстан;Бугристое;;;А;;27.09.2022 16:55;2022-09-27
114;2618;31.0;отказ от военкомата;659;Иран;Внуково;;Владимирская область;;1.0;27.09.2022 17:12;2022-09-27
115;2621;NULL;;служил;Турция;Домодедово;;;;;27.09.2022 17:16;2022-09-27
116;2623;NULL;отказ от военкомата;472, военная кафедра;Армения;Внуково;;Ленинградская область;А;;27.09.2022 17:18;2022-09-27
117;2630;26.0;отказ от военкомата;служил;Казахстан;Исилькуль;;Ульяновская область;;1.0;27.09.2022 17:27;2022-09-27
118;2641;25.0;отказ от военкомата;военная кафедра;Казахстан;Веселоярск;;;;;27.09.2022 17:52;2022-09-27
119;2665;38.0;долг;не служил;Иран;Шереметьево;;;В;;27.09.2022 21:20;2022-09-27
120;2675;31.0;отказ от военкомата;военная кафедра;Таджикистан;Пулково;;Ленинградская область;;;27.09.2022 21:45;2022-09-27
121;2677;39.0;отказ от военкомата;без ВУС, военная кафедра, офицер;Турция;Пулково;;;;1.0;27.09.2022 21:49;2022-09-27
122;2679;31.0;отказ от военкомата;служил;Киргизия;Красноярск;;Республика Хакасия;А;;27.09.2022 21:51;2022-09-27
123;2682;27.0;отказ от военкомата;военная кафедра, рядовой;Турция;Шереметьево;;;А2;;27.09.2022 21:55;2022-09-27
124;2691;NULL;отказ во въезде;;Польша;Мамоново;;;;;27.09.2022 22:07;2022-09-27
125;2691;NULL;отказ во въезде;;Польша;Мамоново;;;;;27.09.2022 22:07;2022-09-27
126;2691;NULL;отказ во въезде;;Польша;Мамоново;;;;;27.09.2022 22:07;2022-09-27
127;2691;NULL;отказ во въезде;;Польша;Мамоново;;;;;27.09.2022 22:07;2022-09-27
128;2691;NULL;отказ во въезде;;Польша;Мамоново;;;;;27.09.2022 22:07;2022-09-27
129;2691;NULL;отказ во въезде;;Польша;Мамоново;;;;;27.09.2022 22:07;2022-09-27
130;2691;NULL;отказ во въезде;;Польша;Мамоново;;;;;27.09.2022 22:07;2022-09-27
131;2691;NULL;отказ во въезде;;Польша;Мамоново;;;;;27.09.2022 22:07;2022-09-27
132;2697;41.0;порванный паспорт;служил;Казахстан;;;;;;25.09.2022 22:15;2022-09-25
133;2697;25.0;отказ от военкомата;электрик;Киргизия;Шереметьево;;Москва;А;;27.09.2022 22:15;2022-09-27
134;2703;30.0;отказ от военкомата;водитель, МЧС, спецучет;Мальдивская Республика;Шереметьево;;;;1.0;27.09.2022 22:23;2022-09-27
135;2717;29.0;отказ от военкомата;служил;Грузия;Верхний Ларс;;;А;;27.09.2022 22:44;2022-09-27
136;2722;24.0;;служил;Казахстан;Маштаково;;;;;27.09.2022 22:50;2022-09-27
137;2736;27.0;отказ от военкомата;морская пехота, дшб;Казахстан;Николаевка;;;;;27.09.2022 23:15;2022-09-27
138;2737;25.0;отказ от военкомата;служил;Казахстан;Мариинский;;Челябинская область;;;27.09.2022 23:17;2022-09-27
139;2738;35.0;;служил, мобилизационное предписание;Таджикистан;Жуковский;;;;;27.09.2022 23:19;2022-09-27
140;2744;33.0;;связист;Таджикистан;Жуковский;;;А;;27.09.2022 23:35;2022-09-27
141;2761;24.0;отказ от военкомата;131, военная кафедра, командир артиллерийских орудий;Турция;Шереметьево;;;Б1;;27.09.2022 22:36;2022-09-27
142;2762;NULL;отсутствие загранпаспорта;;Польша;;;;;;28.09.2022 9:40;2022-09-28
143;2772;27.0;отказ от военкомата;441, военная кафедра;Узбекистан;Шереметьево;;;;;28.09.2022 10:05;2022-09-28
144;2773;25.0;отказ от военкомата;служил;Армения;Домодедово;;Москва;А2;;28.09.2022 10:07;2022-09-28
145;2776;30.0;отказ во въезде;;Молдова;Стамбул;;;;;28.09.2022 10:09;2022-09-28
146;2784;26.0;отказ от военкомата;980669П, слесарь паросиловых и котельных установок;Казахстан;Озинки;2015-2016;;;;27.09.2022 22:00;2022-09-27
147;2787;27.0;отказ от военкомата;служил;Турция;Внуково;;;А1;;28.09.2022 10:41;2022-09-28
148;2797;26.0;отказ от военкомата;служил, контрактник, офицер,  инженер-техник;Узбекистан;Домодедово;;;А;1.0;28.09.2022 11:12;2022-09-28
149;2802;37.0;;офицер запаса, ВМФ;Казахстан;Петухово;;Ленинградская область;Б1;;28.09.2022 11:20;2022-09-28
150;2808;26.0;отказ от военкомата;ВМФ;Турция;Шереметьево;;Архангельская область;;;28.09.2022 2:00;2022-09-28
151;2815;26.0;отказ от военкомата;военная кафедра;Узбекистан;Шереметьево;;;;;27.09.2022 19:15;2022-09-27
152;2819;NULL;;связист сержант;Таджикистан;Домодедово;2013-2014;;А;;28.09.2022 11:41;2022-09-28
153;2831;37.0;;военная кафедра;Финляндия;Торфяновка;;;А;;28.09.2022 12:30;2022-09-28
154;2831;28.0;;военная кафедра;Казахстан;Петухово;;;А;;26.09.2022 12:30;2022-09-26
155;2835;25.0;испорченный паспорт;;Казахстан;Аксарайский;2017-2018;;А;;28.09.2022 12:40;2022-09-28
156;2846;38.0;отказ от военкомата;военная кафедра;Грузия;Верхний Ларс;;Санкт-Петербург;;;27.09.2022 13:33;2022-09-27
157;2847;31.0;;служил;Узбекистан;Внуково;;;;;28.09.2022 13:34;2022-09-28
158;2854;38.0;;100, ВМФ, офицер;Казахстан;Петухово;;Санкт-Петербург;Б;;28.09.2022 5:30;2022-09-28
159;2860;27.0;отказ от военкомата;танкист, сержант, контрактник;Казахстан;Вишнёвка;;Нижний Новгород;;;28.09.2022 13:52;2022-09-28
160;2866;27.0;отказ от военкомата;помощник делопроизводителя;Грузия;Верхний Ларс;;;Б;;28.09.2022 13:58;2022-09-28
161;2875;NULL;отказ от военкомата;124182;;Внуково;;;;;27.09.2022 14:12;2022-09-27
162;2890;21.0;;стрелок;Казахстан;;2020-2021;;;;28.09.2022 14:31;2022-09-28
163;2896;NULL;отказ от военкомата;служил;Египет;Внуково;;Москва;А1;;28.09.2022 14:37;2022-09-28
164;2902;24.0;;;Грузия;Верхний Ларс;;;А;;28.09.2022 14:46;2022-09-28
