id,msg_id,case_mes_id,case_type,age,sex,cause,army_relations,vus,army_type,army_sec_type,army_other,country,kpp,yService,voenk_region,voenk_city,voenk_district,kategory_h,kategory_z,date
122,2679,NULL,NULL,31,NULL,"отказ от военкомата",NULL,NULL,NULL,NULL,служил,Киргизия,Красноярск,,"Республика Хакасия",NULL,NULL,А,,2022-09-27
123,2682,NULL,NULL,27,NULL,"отказ от военкомата",NULL,NULL,NULL,NULL,"военная кафедра, рядовой",Турция,Шереметьево,,,NULL,NULL,А2,,2022-09-27
124,2691,NULL,NULL,NULL,NULL,"отказ во въезде",NULL,NULL,NULL,NULL,,Польша,Мамоново,,,NULL,NULL,,,2022-09-27
125,2691,NULL,NULL,NULL,NULL,"отказ во въезде",NULL,NULL,NULL,NULL,,Польша,Мамоново,,,NULL,NULL,,,2022-09-27
126,2691,NULL,NULL,NULL,NULL,"отказ во въезде",NULL,NULL,NULL,NULL,,Польша,Мамоново,,,NULL,NULL,,,2022-09-27
127,2691,NULL,NULL,NULL,NULL,"отказ во въезде",NULL,NULL,NULL,NULL,,Польша,Мамоново,,,NULL,NULL,,,2022-09-27
128,2691,NULL,NULL,NULL,NULL,"отказ во въезде",NULL,NULL,NULL,NULL,,Польша,Мамоново,,,NULL,NULL,,,2022-09-27
129,2691,NULL,NULL,NULL,NULL,"отказ во въезде",NULL,NULL,NULL,NULL,,Польша,Мамоново,,,NULL,NULL,,,2022-09-27
130,2691,NULL,NULL,NULL,NULL,"отказ во въезде",NULL,NULL,NULL,NULL,,Польша,Мамоново,,,NULL,NULL,,,2022-09-27
131,2691,NULL,NULL,NULL,NULL,"отказ во въезде",NULL,NULL,NULL,NULL,,Польша,Мамоново,,,NULL,NULL,,,2022-09-27
132,2697,NULL,NULL,41,NULL,"порванный паспорт",NULL,NULL,NULL,NULL,служил,Казахстан,,,,NULL,NULL,,,2022-09-25
133,2697,NULL,NULL,25,NULL,"отказ от военкомата",NULL,NULL,NULL,NULL,электрик,Киргизия,Шереметьево,,Москва,NULL,NULL,А,,2022-09-27
134,2703,NULL,NULL,30,NULL,"отказ от военкомата",NULL,NULL,NULL,NULL,"водитель, МЧС, спецучет","Мальдивская Республика",Шереметьево,,,NULL,NULL,,1,2022-09-27
135,2717,NULL,NULL,29,NULL,"отказ от военкомата",NULL,NULL,NULL,NULL,служил,Грузия,"Верхний Ларс",,,NULL,NULL,А,,2022-09-27
136,2722,NULL,NULL,24,NULL,,NULL,NULL,NULL,NULL,служил,Казахстан,Маштаково,,,NULL,NULL,,,2022-09-27
137,2736,NULL,NULL,27,NULL,"отказ от военкомата",NULL,NULL,NULL,NULL,"морская пехота, дшб",Казахстан,Николаевка,,,NULL,NULL,,,2022-09-27
138,2737,NULL,NULL,25,NULL,"отказ от военкомата",NULL,NULL,NULL,NULL,служил,Казахстан,Мариинский,,"Челябинская область",NULL,NULL,,,2022-09-27
139,2738,NULL,NULL,35,NULL,,NULL,NULL,NULL,NULL,"служил, мобилизационное предписание",Таджикистан,Жуковский,,,NULL,NULL,,,2022-09-27
140,2744,NULL,NULL,33,NULL,,NULL,NULL,NULL,NULL,связист,Таджикистан,Жуковский,,,NULL,NULL,А,,2022-09-27
141,2761,NULL,NULL,24,NULL,"отказ от военкомата",NULL,NULL,NULL,NULL,"131, военная кафедра, командир артиллерийских орудий",Турция,Шереметьево,,,NULL,NULL,Б1,,2022-09-27
142,2762,NULL,NULL,NULL,NULL,"отсутствие загранпаспорта",NULL,NULL,NULL,NULL,,Польша,,,,NULL,NULL,,,2022-09-28
143,2772,NULL,NULL,27,NULL,"отказ от военкомата",NULL,NULL,NULL,NULL,"441, военная кафедра",Узбекистан,Шереметьево,,,NULL,NULL,,,2022-09-28
144,2773,NULL,NULL,25,NULL,"отказ от военкомата",NULL,NULL,NULL,NULL,служил,Армения,Домодедово,,Москва,NULL,NULL,А2,,2022-09-28
145,2776,NULL,NULL,30,NULL,"отказ во въезде",NULL,NULL,NULL,NULL,,Молдова,Стамбул,,,NULL,NULL,,,2022-09-28
146,2784,NULL,NULL,26,NULL,"отказ от военкомата",NULL,NULL,NULL,NULL,"980669П, слесарь паросиловых и котельных установок",Казахстан,Озинки,2015-2016,,NULL,NULL,,,2022-09-27
147,2787,NULL,NULL,27,NULL,"отказ от военкомата",NULL,NULL,NULL,NULL,служил,Турция,Внуково,,,NULL,NULL,А1,,2022-09-28
148,2797,NULL,NULL,26,NULL,"отказ от военкомата",NULL,NULL,NULL,NULL,"служил, контрактник, офицер,  инженер-техник",Узбекистан,Домодедово,,,NULL,NULL,А,1,2022-09-28
